epoch,accuracy,loss,val_accuracy,val_loss
0,0.2789555490016937,1.8905583620071411,0.38019999861717224,1.6561444997787476
1,0.4052000045776367,1.598412275314331,0.4503999948501587,1.5075623989105225
2,0.4631555676460266,1.4646625518798828,0.49459999799728394,1.3871676921844482
3,0.5038444399833679,1.363324522972107,0.5253999829292297,1.3218008279800415
4,0.5340666770935059,1.289817214012146,0.5446000099182129,1.257918119430542
5,0.5595333576202393,1.2245100736618042,0.5598000288009644,1.2194007635116577
6,0.5828666687011719,1.1654051542282104,0.5830000042915344,1.169610619544983
7,0.5991555452346802,1.121360421180725,0.5716000199317932,1.1694225072860718
8,0.6182222366333008,1.071151614189148,0.5934000015258789,1.1524397134780884
9,0.6333333253860474,1.0336512327194214,0.5925999879837036,1.149904727935791
10,0.6483111381530762,0.9909986853599548,0.6021999716758728,1.0934398174285889
11,0.6632221937179565,0.9469274282455444,0.6111999750137329,1.1078064441680908
12,0.6793555617332458,0.90670245885849,0.5928000211715698,1.1610629558563232
13,0.6903777718544006,0.8734423518180847,0.6295999884605408,1.0531399250030518
14,0.7064222097396851,0.8285549283027649,0.631600022315979,1.062425971031189
15,0.7174888849258423,0.7971736192703247,0.6304000020027161,1.06059992313385
16,0.733822226524353,0.7531811594963074,0.6277999877929688,1.1024619340896606
17,0.745199978351593,0.7209682464599609,0.6317999958992004,1.085405945777893
18,0.7608222365379333,0.678652286529541,0.6460000276565552,1.090375542640686
19,0.8253333568572998,0.5082963705062866,0.6579999923706055,1.075563669204712
20,0.8382222056388855,0.4731288552284241,0.6507999897003174,1.1008179187774658
21,0.8434444665908813,0.45666393637657166,0.650600016117096,1.1188139915466309
22,0.8483555316925049,0.4438168406486511,0.6553999781608582,1.1302306652069092
23,0.8550000190734863,0.4284515976905823,0.6547999978065491,1.1435816287994385
24,0.8654666543006897,0.40159183740615845,0.6549999713897705,1.1446629762649536
25,0.8669333457946777,0.3990272283554077,0.656000018119812,1.1533920764923096
26,0.8662889003753662,0.3983662724494934,0.6520000100135803,1.1554405689239502
27,0.8676666617393494,0.39629101753234863,0.656000018119812,1.1584892272949219
28,0.8679333329200745,0.393907368183136,0.6552000045776367,1.1616475582122803
29,0.8699555397033691,0.3914566934108734,0.656000018119812,1.1606123447418213
30,0.8699111342430115,0.39053258299827576,0.6561999917030334,1.16071617603302
31,0.8694666624069214,0.39102408289909363,0.6549999713897705,1.16098952293396
32,0.8687111139297485,0.39213645458221436,0.6553999781608582,1.161137580871582
33,0.8693110942840576,0.3903428018093109,0.6556000113487244,1.1615574359893799
34,0.8687777519226074,0.3899157643318176,0.6552000045776367,1.1615393161773682
35,0.8696444630622864,0.38999226689338684,0.6552000045776367,1.161530613899231
36,0.8702222108840942,0.389291912317276,0.6552000045776367,1.1615322828292847
37,0.8696222305297852,0.38970381021499634,0.6549999713897705,1.1615560054779053
38,0.8694888949394226,0.39073729515075684,0.6552000045776367,1.1615477800369263
